dimension,candidate_key,source,frequency,seed_description,example_ids,example_explanations
methodology,photogrammetry_pipeline,suggested,1,,lni352/KB_Digitalization_of_Cultural_Heritage,"Die Entwicklung der 3D-Modelle folgt einem pragmatischen Workflow (Bildaufnahme -> Verarbeitung -> Modellgenerierung), der zwar strukturiert ist, aber nicht explizit als klassisches Software Engineering oder agile Entwicklung beschrieben wird. Eine spezifischere Kategorie wäre 'photogrammetry_pipeline'."
software_type,script,seed,4,"Skript / script (kleiner, oft einzelner Ausführungsfaden).",,
software_type,library_package,seed,9,Bibliothek oder Paket / library or package (zur Wiederverwendung durch andere).,,
software_type,full_stack_application,seed,9,"Full-Stack-Anwendung / full-stack application (Frontend + Backend, häufig webbasiert).",,
software_type,numerical_mathematical,seed,4,"Numerisch/mathematisch fokussierte Software (z.B. Solver, Berechnungskerne).",,
software_type,embedded_hardware,seed,1,"Embedded / hardwarenahe Software (z.B. Mikrocontroller, Robotik).",,
software_type,web_service_api,seed,4,Web-Service oder API (serverseitige Schnittstelle ohne eigenes UI).,,
software_type,plugin_extension,seed,4,Plugin oder Erweiterung eines bestehenden Systems (z.B. Moodle-Plugin).,,
software_type,notebook,seed,0,"Notebook-basierte Analyse (z.B. Jupyter, R Markdown).",,
software_type,test_automation_framework,suggested,1,,lni106/75,"Die Software scheint als Framework oder Bibliothek zur automatisierten Testfallgenerierung und -auswertung zu fungieren, das in eine größere Testumgebung (GATE) integriert wird."
software_type,proxy_server_application,suggested,1,,lni132/377,"Der Proxy-Server agiert als eine serverseitige Schnittstelle, die ohne eigenes UI auskommt und technische Sicherheitsaufgaben übernimmt. Er könnte als spezifische Form eines Web-Service oder einer Proxy-Anwendung betrachtet werden."
software_type,network_routing_tool,suggested,1,,lni133/145,"Die Software umfasst mehrere Komponenten (Kontextrouter, Clients, Server) und arbeitet auf Netzwerkebene, was einer Full-Stack-Anwendung ähnelt. Allerdings ist sie spezifisch auf Netzwerk-Routing zugeschnitten, daher könnte 'network_routing_tool' eine präzisere Kategorie sein."
software_type,workflow_management_system,suggested,1,,lni160/193,"BPEL4Grid ist eine Full-Stack-Anwendung, die sowohl Backend-Komponenten (z.B. Workflow-Engine, Sicherheits- und Fehlertoleranzmodule) als auch Frontend-Tools (z.B. DAVO, ViGO, SimpleBPEL) umfasst. Die vorgeschlagene Subkategorie 'workflow_management_system' könnte die Art der Software präziser beschreiben, da es sich um ein System zur Verwaltung und Ausführung von Workflows handelt."
software_type,educational_template,suggested,1,,lni168/107,"Scratch2Greenfoot ist ein Template/Erweiterung für Greenfoot, das spezifische Bausteine von Scratch nachbildet. Es handelt sich nicht um ein Plugin im klassischen Sinne, sondern um eine pädagogische Erweiterung einer bestehenden Entwicklungsumgebung."
software_type,schema_generation_framework,suggested,1,,lni180/514,"Die Software stellt ein Framework zur Generierung von Datenbankschemata dar, das als Bibliothek oder Paket zur Wiederverwendung in anderen Projekten gedacht ist. Es handelt sich nicht um eine Full-Stack-Anwendung oder ein Skript, sondern um ein wiederverwendbares Tool."
software_type,database_extension_framework,suggested,1,,lni220/434,"EXAPowerlytics ist technisch gesehen eine Erweiterung der EXASolution-Datenbank, die es ermöglicht, benutzerdefinierte Funktionen (UDFs) in verschiedenen Sprachen zu integrieren und externe Prozesse anzubinden. Es handelt sich nicht um ein Plugin im klassischen Sinne, sondern eher um ein Framework zur Erweiterung der Datenbankfunktionalität. Die vorgeschlagene Kategorie 'database_extension_framework' wäre präziser."
software_type,domain_specific_language,suggested,1,,lni307/C6-7,"Die entwickelte Sprache 'SemaLogic' ist eine domänenspezifische Sprache (DSL), die als Bibliothek oder Paket zur Wiederverwendung in anderen Systemen (z.B. Campus-Management-Systeme) gedacht ist. Sie ist jedoch spezifischer als eine klassische Bibliothek und könnte als eigene Kategorie 'domain_specific_language' betrachtet werden."
software_type,data_exchange_standard,suggested,1,,lni318/swm2021-11,"HUSST besteht aus XML-Schemata (XSDs), SQL-Datenbankstrukturen und Tarifeditoren, die als wiederverwendbare Komponenten fungieren. Technisch handelt es sich um eine Bibliothek/Paket, aber der Fokus liegt auf der Definition eines Datenstandards. Eine neue Subkategorie 'data_exchange_standard' wäre präziser."
software_type,deep_learning_model,suggested,1,,lni329/31-BIOSIG_2022_paper_65,"Die Software besteht aus tiefen Lernmodellen (ResNet50-basiert), die als wiederverwendbare Komponenten (Bibliotheken/Pakete) implementiert sind. Sie ist nicht als eigenständige Anwendung, sondern als Teil einer größeren Analyse-Pipeline konzipiert. Die Kategorie 'deep_learning_model' könnte präziser sein, da es sich um spezialisierte Modelle für biometrische Erkennung handelt."
software_type,signal_processing_toolkit,suggested,1,,lni337/05_01_03_Weiss,"Die beschriebenen Methoden und Algorithmen (z.B. Chroma-basierte Skalenanalyse, Tonalitätsvisualisierung) deuten auf eine Bibliothek oder ein Paket hin, das für die Wiederverwendung in der Musikverarbeitung konzipiert ist. Allerdings wird nicht explizit von einer Bibliothek gesprochen, daher könnte auch ein Toolkit für Signalverarbeitung passen."
software_type,photogrammetry_software,suggested,1,,lni352/KB_Digitalization_of_Cultural_Heritage,"Die genutzte Software (z.B. Agisoft Metashape, Scaniverse) ist eine eigenständige Anwendung mit Backend-Verarbeitung und Frontend-Interaktion, passt aber nicht perfekt zu 'full_stack_application'. Eine präzisere Kategorie wäre 'photogrammetry_software'."
software_type,middleware_integration,suggested,1,,lni51/GI-Proceedings.51-20,"Die entwickelte Software umfasst eine nachrichtenbasierte Middleware (Websphere MQ) und Brückenprogramme, die als technische Schnittstellen zwischen verschiedenen Systemen fungieren. Dies ähnelt einem Web-Service oder einer API, ist aber spezifischer auf Middleware-Integration ausgerichtet."
software_type,formal_process_language,suggested,1,,lni75/GI-Proceedings.75-16,"Die vorgestellte Semantic Process Language (SPL) ist eine formale Sprache zur Spezifikation von Prozessen, die durch Module Nets implementiert wird. Sie kann als eine Art Bibliothek oder Framework für die Modellierung von Geschäftsprozessen betrachtet werden, auch wenn sie nicht klassisch als Softwarebibliothek im technischen Sinne vorliegt."
techstack,python,seed,9,Python.,,
techstack,java_jvm,seed,10,"Java oder andere JVM-Sprachen (Kotlin, Scala).",,
techstack,javascript_web,seed,3,"JavaScript/TypeScript und Web-Frontend (HTML/CSS, React, etc.).",,
techstack,c_cpp,seed,4,C oder C++.,,
techstack,csharp_dotnet,seed,1,C# / .NET.,,
techstack,r_lang,seed,2,R.,,
techstack,matlab,seed,1,MATLAB.,,
techstack,sql_db,seed,11,SQL / Datenbanken.,,
techstack,other_unspecified,seed,23,Andere oder nicht spezifizierte Technologie.,,
techstack,unspecified_test_automation_tech,suggested,1,,lni106/75,"Der Techstack wird nicht explizit genannt, aber es handelt sich um eine generische Testumgebung, die wahrscheinlich in einer industriellen Entwicklungsumgebung eingesetzt wird. Spezifische Programmiersprachen oder Technologien sind nicht angegeben."
techstack,cf_interface_programming,suggested,1,,lni110/16,"Der Techstack wird nicht explizit genannt, aber es wird eine CF-Schnittstelle des Readers verwendet. Die Programmiersprache oder Technologie ist nicht spezifiziert, daher 'other_unspecified' mit einem Vorschlag für eine präzisere Kategorie."
techstack,logic_programming,suggested,1,,lni128/17,"Der Techstack wird nicht explizit genannt, aber die Algorithmen basieren auf logischen Formalismen (First-Order-Logic), was auf eine Implementierung in einer logikbasierten Programmiersprache oder einem allgemeinen Programmierframework hindeutet."
techstack,perl_web,suggested,1,,lni13/49_In-houseDevelUISforTradUni,"Die Software nutzt eine Oracle-Datenbank (SQL) und wurde primär in Perl entwickelt, mit Apache als Webserver und verschiedenen Perl-Modulen (z.B. DBI, XML::Parser). Perl ist hier die zentrale Programmiersprache, die nicht in den vorgegebenen Kategorien enthalten ist."
techstack,commercial_optimization_software,suggested,1,,lni158/23,"Der Techstack ist nicht explizit genannt, aber der 'RiskOptimizer' von Palisade ist eine kommerzielle Software zur Optimierung und Risikoanalyse. Da dies nicht in den Seed-Kategorien enthalten ist, wird eine neue Subkategorie vorgeschlagen."
techstack,apache_module,suggested,1,,lni187/91,"Die Software ist als Apache-Modul (vermutlich in C/C++ implementiert) realisiert und nutzt eine SQL-Datenbank (PostgreSQL) für das Session-Management. OpenSSL wird für kryptografische Operationen (AES) verwendet, was hier als 'other_unspecified' klassifiziert wird."
techstack,custom_dsl_implementation,suggested,1,,lni307/C6-7,"Der Techstack wird nicht explizit genannt, aber es handelt sich um die Implementierung einer domänenspezifischen Sprache (DSL) mit einem Parser und einer semantischen Repräsentation. Dies könnte als 'custom_dsl_implementation' klassifiziert werden, da keine gängigen Programmiersprachen oder Frameworks erwähnt werden."
techstack,xml_xsd,suggested,1,,lni318/swm2021-11,HUSST nutzt XML (inkl. XSD-Schemata) und SQL-Datenbanken. XML/XSD ist nicht in den Seed-Kategorien enthalten und sollte als 'xml_xsd' ergänzt werden.
techstack,optimization_solver,suggested,1,,lni327/PVM2022_5,"Der Techstack wird nicht explizit genannt, aber Optimierungsmodelle dieser Art werden häufig mit Solvern wie CPLEX, Gurobi oder ähnlichen Tools implementiert. Eine spezifischere Kategorie könnte 'Optimierungs-Solver' sein."
techstack,hdl_hardware_description,suggested,1,,lni331/C1-3,"Die Software nutzt Python-basiertes Amaranth HDL zur Generierung von Hardware-Beschreibungen (VHDL/Verilog-äquivalent). FPGAs selbst werden typischerweise in VHDL oder Verilog programmiert, was hier durch Amaranth abstrahiert wird. Zusätzlich könnten C/C++ für Test- oder Schnittstellenkomponenten verwendet werden. Eine neue Kategorie 'hdl_hardware_description' wäre präziser für die verwendete Technologie."
techstack,photogrammetry_tools,suggested,1,,lni352/KB_Digitalization_of_Cultural_Heritage,"Die genutzten Technologien (Agisoft Metashape, Scaniverse) sind spezifische Photogrammetrie-Tools, die nicht in den vorgegebenen Kategorien enthalten sind. Eine neue Kategorie 'photogrammetry_tools' wäre passend."
techstack,petri_net_based,suggested,1,,lni75/GI-Proceedings.75-16,"Die Publikation spezifiziert keine konkrete Programmiersprache, sondern beschreibt eine formale Sprache und deren Implementierung als Module Nets, die eng mit Petri-Netzen verwandt sind. Der Techstack ist daher als petri-net-basiert zu charakterisieren."
techstack,bluetooth_embedded,suggested,1,,lni91/GI-Proceedings-91-14,"Explizit erwähnt werden Java-basierte Komponenten (z.B. MBU als PDA/Smartphone mit Java-Unterstützung) und Bluetooth für die Intra-BAN-Kommunikation. Weitere Technologien (z.B. GPRS/UMTS, Verschlüsselung) sind nicht spezifisch genug zugeordnet, könnten aber in die Kategorie 'other_unspecified' fallen. Die Sensoren und Embedded-Komponenten legen nahe, dass hardwarenahe Technologien (z.B. Bluetooth-Stacks) verwendet wurden, was mit 'bluetooth_embedded' besser beschrieben wäre."
